Finance Portfolio
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Real Risk Premium,Real Risk Premium
Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5,Baa Corporate Bond2,Real Estate2,Gold2,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP,Inflation Rate,S&P 500 (includes dividends)2,US Small cap (bottom decile)22,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,S&P 500 (includes dividends)3,US Small cap (bottom decile)22,3-month T.Bill4,US T. Bond5,Baa Corporate Bond2,Real Estate2,Gold2,Stocks minus T. Bills,Stocks minus T.Bonds
1960,0.34%,-3.49%,2.87%,11.64%,6.66%,0.77%,0.48%,"$1,614.37","$4,653.86",$154.15,$239.53,$470.33,$261.30,$170.88,-2.54%,-11.30%,-3.83%,-6.33%,14.38%,1.36%,-1.01%,-4.79%,1.49%,10.14%,5.23%,-0.59%,-0.86%,$937.20,"$2,701.74",$89.49,$139.06,$273.04,$151.69,$99.20,-2.50%,-11.15%
1961,26.64%,29.83%,2.35%,2.06%,5.10%,0.98%,-0.06%,"$2,044.40","$6,042.11",$157.77,$244.46,$494.32,$263.85,$170.78,24.29%,24.58%,3.19%,21.54%,15.01%,0.67%,25.79%,28.96%,1.67%,1.38%,4.40%,0.30%,-0.72%,"$1,178.94","$3,484.28",$90.98,$140.97,$285.06,$152.15,$98.49,24.12%,24.41%
1962,-8.81%,-9.76%,2.77%,5.69%,6.50%,0.32%,-0.06%,"$1,864.26","$5,452.40",$162.15,$258.38,$526.43,$264.70,$170.69,-11.58%,-14.51%,-0.95%,-15.31%,13.04%,1.33%,-10.01%,-10.95%,1.42%,4.30%,5.09%,-1.00%,-1.37%,"$1,060.91","$3,102.85",$92.27,$147.04,$299.58,$150.64,$97.13,-11.43%,-14.31%
1963,22.61%,19.93%,3.16%,1.68%,5.46%,2.14%,-0.40%,"$2,285.80","$6,539.06",$167.27,$262.74,$555.19,$270.38,$170.01,19.46%,20.93%,-2.68%,17.15%,13.47%,1.64%,20.63%,17.99%,1.49%,0.04%,3.76%,0.49%,-2.01%,"$1,279.75","$3,661.03",$93.65,$147.10,$310.84,$151.38,$95.18,19.14%,20.59%
1964,16.42%,23.15%,3.55%,3.73%,5.16%,1.26%,0.03%,"$2,661.02","$8,052.86",$173.20,$272.53,$583.85,$273.78,$170.06,12.87%,12.69%,6.73%,11.25%,13.43%,0.97%,15.30%,21.97%,2.55%,2.73%,4.15%,0.29%,-0.93%,"$1,475.50","$4,465.21",$96.03,$151.11,$323.74,$151.81,$94.30,12.75%,12.57%
1965,12.40%,45.66%,3.95%,0.72%,3.19%,1.66%,0.06%,"$2,990.97","$11,729.79",$180.04,$274.49,$602.47,$278.32,$170.16,8.45%,11.68%,33.26%,9.21%,13.34%,1.92%,10.28%,42.91%,1.99%,-1.18%,1.24%,-0.26%,-1.83%,"$1,627.16","$6,381.30",$97.94,$149.33,$327.76,$151.41,$92.57,8.29%,11.46%
1966,-9.97%,-9.49%,4.86%,2.91%,-3.45%,1.22%,0.03%,"$2,692.74","$10,616.63",$188.78,$282.47,$581.72,$281.72,$170.20,-14.83%,-12.88%,0.48%,-6.53%,11.91%,3.46%,-12.98%,-12.52%,1.35%,-0.53%,-6.67%,-2.16%,-3.32%,"$1,415.94","$5,582.61",$99.27,$148.53,$305.89,$148.14,$89.50,-14.33%,-12.45%
1967,23.80%,116.79%,4.29%,-1.58%,0.90%,2.32%,-0.51%,"$3,333.69","$23,015.80",$196.88,$278.01,$586.92,$288.25,$169.33,19.51%,25.38%,92.99%,22.91%,12.52%,3.04%,20.15%,110.40%,1.22%,-4.48%,-2.08%,-0.70%,-3.45%,"$1,701.27","$11,745.53",$100.47,$141.87,$299.52,$147.10,$86.41,18.93%,24.63%
1968,10.81%,60.70%,5.34%,3.27%,4.85%,4.13%,12.47%,"$3,694.23","$36,986.40",$207.39,$287.11,$615.36,$300.17,$190.46,5.48%,7.54%,49.89%,5.97%,12.30%,4.72%,5.82%,53.46%,0.59%,-1.38%,0.12%,-0.56%,7.41%,"$1,800.29","$18,024.36",$101.07,$139.92,$299.88,$146.28,$92.81,5.23%,7.20%
1969,-8.24%,-33.05%,6.67%,-5.01%,-2.03%,6.99%,5.01%,"$3,389.77","$24,762.39",$221.22,$272.71,$602.90,$321.16,$200.00,-14.91%,-3.23%,-24.81%,-6.22%,11.54%,6.20%,-13.60%,-36.96%,0.44%,-10.56%,-7.74%,0.75%,-1.12%,"$1,555.52","$11,363.12",$101.52,$125.14,$276.66,$147.38,$91.78,-14.04%,-3.04%
1970,3.56%,-19.00%,6.39%,16.75%,5.65%,8.22%,-9.45%,"$3,510.49","$20,057.54",$235.36,$318.41,$636.96,$347.55,$181.10,-2.83%,-13.19%,-22.56%,-2.09%,10.55%,5.57%,-1.90%,-23.27%,0.78%,10.59%,0.08%,2.51%,-14.23%,"$1,525.92","$8,718.48",$102.30,$138.40,$276.87,$151.07,$78.72,-2.68%,-12.50%
1971,14.22%,16.49%,4.33%,9.79%,14.00%,4.24%,16.69%,"$4,009.72","$23,365.03",$245.56,$349.57,$726.14,$362.30,$211.34,9.89%,4.43%,2.27%,0.22%,10.32%,3.27%,10.61%,12.81%,1.03%,6.31%,10.40%,0.95%,13.00%,"$1,687.79","$9,834.92",$103.36,$147.14,$305.65,$152.50,$88.96,9.57%,4.29%
1972,18.76%,0.26%,4.06%,2.82%,11.41%,2.98%,48.78%,"$4,761.76","$23,425.77",$255.53,$359.42,$808.99,$373.08,$314.44,14.69%,15.94%,-18.50%,7.35%,10.53%,3.41%,14.84%,-3.04%,0.63%,-0.57%,7.74%,-0.42%,43.88%,"$1,938.32","$9,535.67",$104.02,$146.31,$329.31,$151.87,$127.99,14.21%,15.41%
1973,-14.31%,-38.63%,7.04%,3.66%,4.32%,3.42%,72.96%,"$4,080.44","$14,376.40",$273.51,$372.57,$843.92,$385.85,$543.85,-21.34%,-17.97%,-24.32%,-18.63%,9.35%,8.71%,-21.17%,-43.54%,-1.54%,-4.64%,-4.04%,-4.86%,59.11%,"$1,527.96","$5,383.37",$102.42,$139.51,$316.01,$144.48,$203.65,-19.63%,-16.53%
1974,-25.90%,-26.81%,7.85%,1.99%,-4.38%,10.07%,66.15%,"$3,023.54","$10,522.09",$294.97,$379.98,$806.95,$424.72,$903.59,-33.75%,-27.89%,-0.91%,-21.52%,7.76%,12.34%,-34.04%,-34.85%,-4.00%,-9.21%,-14.88%,-2.02%,47.90%,"$1,007.85","$3,507.36",$98.32,$126.66,$268.98,$141.57,$301.20,-30.04%,-24.83%
1975,37.00%,59.35%,5.79%,3.61%,11.05%,6.77%,-24.80%,"$4,142.10","$16,766.94",$312.04,$393.68,$896.12,$453.48,$679.51,31.21%,33.39%,22.35%,25.95%,8.54%,6.94%,28.11%,49.01%,-1.08%,-3.12%,3.85%,-0.15%,-29.68%,"$1,291.14","$5,226.45",$97.27,$122.71,$279.33,$141.36,$211.81,29.18%,31.22%
1976,23.83%,48.51%,4.98%,15.98%,19.75%,8.18%,-4.10%,"$5,129.20","$24,900.59",$327.57,$456.61,"$1,073.13",$490.57,$651.65,18.85%,7.85%,24.68%,4.08%,8.52%,4.86%,18.09%,41.62%,0.11%,10.60%,14.20%,3.16%,-8.55%,"$1,524.66","$7,401.72",$97.37,$135.73,$318.99,$145.82,$193.70,17.98%,7.48%
1977,-6.98%,30.67%,5.26%,1.29%,9.95%,14.65%,22.64%,"$4,771.20","$32,537.60",$344.80,$462.50,"$1,179.96",$562.46,$799.18,-12.24%,-8.27%,37.65%,-16.93%,7.94%,6.70%,-12.82%,22.46%,-1.35%,-5.07%,3.05%,7.45%,14.94%,"$1,329.17","$9,064.42",$96.06,$128.84,$328.72,$156.69,$222.64,-11.47%,-7.75%
1978,6.51%,29.32%,7.18%,-0.78%,3.14%,15.72%,37.01%,"$5,081.77","$42,077.62",$369.55,$458.90,"$1,216.98",$650.90,"$1,094.96",-0.67%,7.29%,22.81%,3.37%,7.92%,9.02%,-2.30%,18.62%,-1.69%,-8.99%,-5.39%,6.15%,25.68%,"$1,298.59","$10,752.48",$94.44,$117.27,$310.99,$166.33,$279.81,-0.61%,6.68%
1979,18.52%,41.97%,10.05%,0.67%,-2.01%,13.74%,126.55%,"$6,022.89","$59,737.60",$406.71,$461.98,"$1,192.53",$740.35,"$2,480.62",8.47%,17.85%,23.45%,20.53%,8.21%,13.29%,4.61%,25.31%,-2.86%,-11.14%,-13.51%,0.40%,99.97%,"$1,358.49","$13,474.07",$91.74,$104.20,$268.98,$166.99,$559.51,7.47%,15.75%
